127.0.0.1 - - [23/May/2021:19:00:15 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:16 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:16 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:16 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:16 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:24 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:24 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:24 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:24 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:28 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:28 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:29 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:31 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:32 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:47 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:49 +0800] "GET /Int_Prog_2/report?page=report&id=&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:53 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:54 +0800] "GET /Int_Prog_2/report?page=report&id=&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [23/May/2021:19:00:55 +0800] "GET /Int_Prog_2/report?page=report&id=&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [23/May/2021:19:01:02 +0800] "GET /Int_Prog_2/report?page=report&id=&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [23/May/2021:19:01:19 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [23/May/2021:19:01:23 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:33 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6340
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:33 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:33 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:33 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:54 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6361
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:54 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:54 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:54 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:57 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6361
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:57 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:57 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:03:57 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:16 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6361
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:16 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:16 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:16 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:18 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6361
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:18 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:18 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:18 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:20 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6361
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:20 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:20 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:20 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:26 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6341
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:26 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:26 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:26 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:28 +0800] "GET /Int_Prog_2/report?page=report&id=33&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:32 +0800] "GET /Int_Prog_2/report?page=report&id=28&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 4387
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:32 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:32 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:32 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:39 +0800] "GET /Int_Prog_2/report?page=report&id=28&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:39 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:39 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:39 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:54 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:54 +0800] "GET /Int_Prog_2/script/dtr.js HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:55 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6341
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:55 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:56 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:57 +0800] "POST /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 5205
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:57 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:58 +0800] "POST /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 5224
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:58 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [23/May/2021:19:04:59 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [23/May/2021:19:05:00 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [23/May/2021:19:05:00 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [23/May/2021:19:05:02 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [23/May/2021:19:05:02 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6341
0:0:0:0:0:0:0:1 - - [23/May/2021:19:05:04 +0800] "GET /Int_Prog_2/report?page=report&id=28&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [23/May/2021:19:05:05 +0800] "GET /Int_Prog_2/report?page=report&id=28&dateStart=5/01/2021&dateEnd=5/23/2021 HTTP/1.1" 200 5382
