127.0.0.1 - - [26/Apr/2021:14:07:42 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:43 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:43 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7368
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:43 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:43 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:48 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:48 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7368
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:48 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:48 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:48 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:53 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:53 +0800] "GET /Int_Prog_2/script/dtr.js HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:55 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 3045
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:56 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:56 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4520
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:56 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:57 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 3045
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:58 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:58 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:58 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4520
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:07:59 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:13:00 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:13:00 +0800] "GET /Int_Prog_2/assets/logo/vertical.png HTTP/1.1" 200 16533
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:13:04 +0800] "POST /Int_Prog_2/login HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [26/Apr/2021:14:13:08 +0800] "POST /Int_Prog_2/login HTTP/1.1" 200 1081
