127.0.0.1 - - [08/Mar/2021:13:59:09 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:10 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:10 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:12 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:13 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:13 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:19 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:20 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:33 +0800] "POST /Int_Prog_2/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:33 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:13:59:33 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:02 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:07 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:09 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:20 +0800] "POST /Int_Prog_2/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:20 +0800] "GET /Int_Prog_2/employee?id=19 HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:23 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:24 +0800] "GET /Int_Prog_2/employee?id=19 HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:24 +0800] "GET /Int_Prog_2/delete?id=19 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:24 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:00:26 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:01:14 +0800] "GET /api/v1/persons?client=1&offset=0&limit=10 HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Mar/2021:14:01:15 +0800] "GET /api/v1/planner/list?date_from=2021-02-28&date_to=2021-04-11 HTTP/1.1" 404 1055
