0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:32 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:33 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:44 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:44 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:44 +0800] "GET /Int_Prog_2/assets/logo/vertical.png HTTP/1.1" 200 16533
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:48 +0800] "POST /Int_Prog_2/login HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:48 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:48 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:48 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:48 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:48 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:48 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:48 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:49 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:50 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:51 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:51 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:52 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:52 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:52 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:53 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:53 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:53 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:53 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:55 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [24/May/2021:06:39:55 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3877
