0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:22 +0800] "POST /Int_Prog_2/login HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:22 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:22 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:26 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:26 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:29 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:32 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:32 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:32 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:32 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:33 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:49 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:49 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:50 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:51 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:51 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:52 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:52 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:52 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
